[12-24-2024][00.00.22] New Synch Log File Created!
[20:39:36] Player (Daryl Dixon, 76561199643612211)(<7355.576172, 81.730453, 12388.914063>) requested data for lock!
[20:39:36] Player (Daryl Dixon, 76561199643612211)(<7359.518066, 86.602303, 12394.140625>) requested data for lock!
[20:39:36] Player (Daryl Dixon, 76561199643612211)(<7355.947266, 84.361282, 12388.909180>) requested data for lock!
[20:45:51] Player (Luiz, 76561197987254655)(<7359.518066, 86.602303, 12394.140625>) requested data for lock!
[20:45:52] Player (Luiz, 76561197987254655)(<7355.454102, 81.730453, 12388.909180>) requested data for lock!
[20:45:53] Player (Luiz, 76561197987254655)(<7360.089844, 82.019249, 12389.973633>) requested data for lock!
[20:45:53] Player (Luiz, 76561197987254655)(<7355.248535, 81.730453, 12388.920898>) requested data for lock!
[20:45:53] Player (Luiz, 76561197987254655)(<7355.812500, 81.730453, 12388.950195>) requested data for lock!
[20:45:53] Player (Luiz, 76561197987254655)(<7355.576172, 81.730453, 12388.914063>) requested data for lock!
[20:45:53] Player (Luiz, 76561197987254655)(<7355.947266, 84.361282, 12388.909180>) requested data for lock!
[20:45:55] Player (Luiz, 76561197987254655)(<7334.517578, 83.857002, 12397.041992>) requested data for lock!
[20:45:55] Player (Luiz, 76561197987254655)(<7334.590332, 81.730453, 12397.067383>) requested data for lock!
[20:45:55] Player (Luiz, 76561197987254655)(<7334.545410, 81.730453, 12396.727539>) requested data for lock!
[20:45:56] Player (Luiz, 76561197987254655)(<7334.615234, 81.730453, 12396.931641>) requested data for lock!
[12-24-2024][21.00.21] Log file reloaded ( Server Restart )
[21:23:03] Player (Daryl Dixon, 76561199643612211)(<5778.326172, 27.668261, 12257.393555>) requested data for lock!
